"Product","Year","Origin","Notified","Fraud"
"Fish_Seafood","2015","Vietnam","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"Fish_Seafood","2015","Senegal","Cyprus","Smuggling-Mislabelling-Origin Masking"
"Fish_Seafood","2017","China","Spain","Smuggling-Mislabelling-Origin Masking"
"Fish_Seafood","2017","China","Spain","Smuggling-Mislabelling-Origin Masking"
"Fish_Seafood","2017","China","Spain","Smuggling-Mislabelling-Origin Masking"
"Fish_Seafood","2017","China","Spain","Smuggling-Mislabelling-Origin Masking"
"Fish_Seafood","2017","China","Spain","Smuggling-Mislabelling-Origin Masking"
"Fish_Seafood","2017","China","Spain","Smuggling-Mislabelling-Origin Masking"
"Prepared_meals","2017","Australia","Norway","Smuggling-Mislabelling-Origin Masking"
"Prepared_meals","2017","Australia","Norway","Smuggling-Mislabelling-Origin Masking"
"Tea","2018","Myanmar","Norway","Smuggling-Mislabelling-Origin Masking"
"Coffee","2018","Myanmar","Norway","Smuggling-Mislabelling-Origin Masking"
"Confectionary","2018","South Africa","Norway","Smuggling-Mislabelling-Origin Masking"
"Fish_Seafood","2017","Morocco","Spain","Smuggling-Mislabelling-Origin Masking"
"Fish_Seafood","2017","Morocco","Spain","Smuggling-Mislabelling-Origin Masking"
"Eggs","2017","Japan","Iceland","Smuggling-Mislabelling-Origin Masking"
"Oils_Fats","2017","Ghana","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"Oils_Fats","2018","China","Norway","Smuggling-Mislabelling-Origin Masking"
"Fish_Seafood","2015","Italy","Italy","Smuggling-Mislabelling-Origin Masking"
"Fish_Seafood","2015","Ghana","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"Fish_Seafood","2015","Senegal","Spain","Smuggling-Mislabelling-Origin Masking"
"Fish_Seafood","2015","Senegal","Spain","Smuggling-Mislabelling-Origin Masking"
"Fish_Seafood","2016","Ghana","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"Fish_Seafood","2016","Thailand","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"Fish_Seafood","2016","Nigeria","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"Fish_Seafood","2016","Ghana","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"Fish_Seafood","2017","Vietnam","Norway","Smuggling-Mislabelling-Origin Masking"
"Fish_Seafood","2017","China","Spain","Smuggling-Mislabelling-Origin Masking"
"Fish_Seafood","2017","China","Spain","Smuggling-Mislabelling-Origin Masking"
"Fish_Seafood","2018","China","Portugal","Smuggling-Mislabelling-Origin Masking"
"Food_additives_supplements","2014","Bangladesh","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"Food_additives_supplements","2014","Bangladesh","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"Food_additives_supplements","2014","Bangladesh","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"Food_additives_supplements","2014","Bangladesh","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"Food_additives_supplements","2014","Bangladesh","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"Nuts","2014","Nigeria","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"Vegetables","2014","Nigeria","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"Food_additives_supplements","2014","Bangladesh","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"Vegetables","2014","Nigeria","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"Vegetables","2014","Thailand","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"Food_additives_supplements","2014","Thailand","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"Vegetables","2015","Nigeria","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"Vegetables","2015","Nigeria","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"Vegetables","2015","Nigeria","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"Vegetables","2015","Nigeria","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"Vegetables","2015","Nigeria","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"Herbs_spices","2015","Vietnam","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"Food_additives_supplements","2015","Bangladesh","Sweden","Smuggling-Mislabelling-Origin Masking"
"Fruits","2015","Turkey","Netherlands","Smuggling-Mislabelling-Origin Masking"
"Vegetables","2016","Nigeria","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"Vegetables","2016","Nigeria","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"Herbs_spices","2016","Vietnam","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"Vegetables","2016","Nigeria","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"Vegetables","2016","Nigeria","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"Nuts","2016","Nigeria","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"Nuts","2016","Nigeria","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"Food_additives_supplements","2016","Bangladesh","Greece","Smuggling-Mislabelling-Origin Masking"
"Vegetables","2017","Nigeria","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"Prepared_meals","2017","Nigeria","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"Vegetables","2017","Nigeria","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"Vegetables","2017","Nigeria","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"Vegetables","2017","Nigeria","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"Vegetables","2017","Nigeria","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"Vegetables","2017","Nigeria","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"Vegetables","2017","Nigeria","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"Vegetables","2017","Nigeria","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"Vegetables","2017","Nigeria","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"Herbs_spices","2015","Vietnam","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"Herbs_spices","2016","Vietnam","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"Confectionary","2018","China","Estonia","Substitution-Dilution"
"Meat","2016","Iran","Italy","Smuggling-Mislabelling-Origin Masking"
"Meat","2018","Australia","Norway","Smuggling-Mislabelling-Origin Masking"
"Soups_sauce","2015","Iran","Italy","Smuggling-Mislabelling-Origin Masking"
"Soups_sauce","2016","Iran","Italy","Smuggling-Mislabelling-Origin Masking"
"Vegetables","2018","China","United Kingdom","Substitution-Dilution"
"Nuts","2014","Ghana","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"Nuts","2014","Ghana","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"Nuts","2014","Nigeria","United Kingdom","Smuggling-Mislabelling-Origin Masking"
