Data_source,Reference number,Product_category_new,Year,Product_desc,Product_name,Product_fraudtype,Or_country-iso3,Or_transparency_index,Or_foodsafety_index
EMA,EMA_000665,Nuts,2011,almond powder,Almonds and almond products,Substitution,GBR,,
EMA,EMA_000638,Vegetables,2015,pigeon pea,Beans and peas,Dilution,IND,38,48.9
EMA,EMA_000639,Vegetables,2015,beans,Beans and peas,Artificial Enhancement,TWN,62,
EMA,EMA_000694,Vegetables,2011,bean sprouts,Beans and peas,Artificial Enhancement,CHN,,
EMA,EMA_000695,Vegetables,2010,peas,Beans and peas,Artificial Enhancement,CHN,,
EMA,EMA_000518,Confectionary,2008,candy,Candy,Dilution,CHN,,
EMA,EMA_000687,Confectionary,2015,jaggery,Candy,Artificial Enhancement,IND,38,48.9
EMA,EMA_000693,Confectionary,2017,jaggery,Candy,Artificial Enhancement,IND,40,48.9
EMA,EMA_000492,Grain_products,2011,grains,Cereal grains,Dilution,IND,,
EMA,EMA_000494,Grain_products,2011,wheat,Cereal grains,Dilution,IND,,
EMA,EMA_000497,Grain_products,2011,grains,Cereal grains,Dilution,IND,,
EMA,EMA_000450,Grain_products,2011,pastry,Cereal products,Artificial Enhancement,CHN,,
EMA,EMA_000498,Grain_products,2014,berries,,,,,
EMA,EMA_000689,Grain_products,2015,cheesecakes,,,,,
EMA,EMA_000514,Dairy,2010,mozarella,Cheese,Dilution,ITA,,
EMA,EMA_000525,Dairy,2009,cheese,Cheese,Mislabeling,NIC,,
EMA,EMA_000538,Dairy,2014,cheese,Cheese,Intentional Distribution of Contaminated Product,USA,74,86.2
EMA,EMA_000628,Herbs_spices,2008,chili powder,Chilli powder,Dilution,IND,,
EMA,EMA_000632,Herbs_spices,2015,cinnamon,Cinnamon,Smuggling,IND,38,48.9
EMA,EMA_000602,Fish_Seafood,2015,crab,Crabs and lobsters,Substitution,USA,76,85.8
EMA,EMA_000611,Fish_Seafood,2015,lobster,Crabs and lobsters,Substitution,USA,76,85.8
EMA,EMA_000614,Fish_Seafood,2014,king crab,,,,,
EMA,EMA_000610,Fish_Seafood,2015,dried fish,Cured fish,Artificial Enhancement,BGD,25,36
