"Data_source","Product_category","Year","Or_country-name","Ct_country-name","Product_fraudtype"
"RASFF","Alcoholic",2011,"unknown origin","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Fish_Seafood",2008,"South Korea","Netherlands","Smuggling-Mislabelling-Origin Masking"
"RASFF","Fish_Seafood",2009,"Croatia","Italy","Smuggling-Mislabelling-Origin Masking"
"RASFF","Fish_Seafood",2013,"Peru","Sweden","Smuggling-Mislabelling-Origin Masking"
"RASFF","Fish_Seafood",2015,"Vietnam","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Fish_Seafood",2015,"Senegal","Cyprus","Smuggling-Mislabelling-Origin Masking"
"RASFF","Fish_Seafood",2017,"China","Spain","Smuggling-Mislabelling-Origin Masking"
"RASFF","Fish_Seafood",2017,"China","Spain","Smuggling-Mislabelling-Origin Masking"
"RASFF","Fish_Seafood",2017,"China","Spain","Smuggling-Mislabelling-Origin Masking"
"RASFF","Fish_Seafood",2017,"China","Spain","Smuggling-Mislabelling-Origin Masking"
"RASFF","Fish_Seafood",2017,"China","Spain","Smuggling-Mislabelling-Origin Masking"
"RASFF","Fish_Seafood",2017,"China","Spain","Smuggling-Mislabelling-Origin Masking"
"RASFF","Fish_Seafood",2017,"China","Spain","Smuggling-Mislabelling-Origin Masking"
"RASFF","Prepared_meals",2011,"China","Italy","Smuggling-Mislabelling-Origin Masking"
"RASFF","Grain_products",2011,"China","Italy","Smuggling-Mislabelling-Origin Masking"
"RASFF","Prepared_meals",2011,"China","Denmark","Smuggling-Mislabelling-Origin Masking"
"RASFF","Snacks",2013,"China","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Prepared_meals",2017,"Australia","Norway","Smuggling-Mislabelling-Origin Masking"
"RASFF","Prepared_meals",2017,"Australia","Norway","Smuggling-Mislabelling-Origin Masking"
"RASFF","Tea",2018,"Myanmar","Norway","Smuggling-Mislabelling-Origin Masking"
"RASFF","Coffee",2018,"Myanmar","Norway","Smuggling-Mislabelling-Origin Masking"
"RASFF","Confectionary",2008,"Colombia","Lithuania","Smuggling-Mislabelling-Origin Masking"
"RASFF","Dairy",2011,"Philippines","Italy","Smuggling-Mislabelling-Origin Masking"
